Name                                           Stmts   Miss  Cover
------------------------------------------------------------------
src/cumulative/__init__.py                         3      0   100%
src/cumulative/cumulative.py                      53      0   100%
src/cumulative/datasets/load_dist.py              37     12    68%
src/cumulative/datasets/load_twoseries.py          7      0   100%
src/cumulative/datasets/load_wide.py              10      0   100%
src/cumulative/loaders/preprocess.py              22      1    95%
src/cumulative/opts.py                             5      0   100%
src/cumulative/plot.py                            64     14    78%
src/cumulative/transforms/__init__.py              0      0   100%
src/cumulative/transforms/frame/cluster.py        21     12    43%
src/cumulative/transforms/frame/copy.py            9      0   100%
src/cumulative/transforms/frame/drop.py            5      0   100%
src/cumulative/transforms/frame/sample.py          5      0   100%
src/cumulative/transforms/frame/score.py          26     18    31%
src/cumulative/transforms/frame/sort.py            4      0   100%
src/cumulative/transforms/row/apply.py            10      0   100%
src/cumulative/transforms/row/bin.py              19     13    32%
src/cumulative/transforms/row/cumsum.py           17      2    88%
src/cumulative/transforms/row/diff.py             17      4    76%
src/cumulative/transforms/row/interpolate.py      58      7    88%
src/cumulative/transforms/row/scale.py            24      1    96%
src/cumulative/transforms/transform.py            39      5    87%
src/cumulative/utils/__init__.py                   0      0   100%
src/cumulative/utils/frames.py                    19      2    89%
src/cumulative/utils/lineage.py                   40     18    55%
src/cumulative/utils/warnings.py                   5      2    60%
src/cumulative/version.py                          1      0   100%
------------------------------------------------------------------
TOTAL                                            520    111    79%
